primary_industry_id,name,url
4,"Office Machine Operators, Except Computer",http://careerwise.minnstate.edu/careers/careerDetail?oc=439071
4,Operations Research Analysts,http://careerwise.minnstate.edu/careers/careerDetail?oc=152031
4,Order Clerks,http://careerwise.minnstate.edu/careers/careerDetail?oc=434151
4,Payroll and Timekeeping Clerks,http://careerwise.minnstate.edu/careers/careerDetail?oc=433051
4,Postal Service Clerks,http://careerwise.minnstate.edu/careers/careerDetail?oc=435051
4,Postal Service Mail Carriers,http://careerwise.minnstate.edu/careers/careerDetail?oc=435052
4,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",http://careerwise.minnstate.edu/careers/careerDetail?oc=435053
4,Procurement Clerks,http://careerwise.minnstate.edu/careers/careerDetail?oc=433061
4,Purchasing Managers,http://careerwise.minnstate.edu/careers/careerDetail?oc=113061
4,Receptionists and Information Clerks,http://careerwise.minnstate.edu/careers/careerDetail?oc=434171
4,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",http://careerwise.minnstate.edu/careers/careerDetail?oc=436014
4,"Shipping, Receiving, and Traffic Clerks",http://careerwise.minnstate.edu/careers/careerDetail?oc=435071
4,Stock Clerks and Order Fillers,http://careerwise.minnstate.edu/careers/careerDetail?oc=435081
4,"Switchboard Operators, Including Answering Service",http://careerwise.minnstate.edu/careers/careerDetail?oc=432011
4,Telephone Operators,http://careerwise.minnstate.edu/careers/careerDetail?oc=432021
4,Training and Development Managers,http://careerwise.minnstate.edu/careers/careerDetail?oc=113131
4,Training and Development Specialists,http://careerwise.minnstate.edu/careers/careerDetail?oc=131151
4,Word Processors and Typists,http://careerwise.minnstate.edu/careers/careerDetail?oc=439022
5,Adult Basic and Secondary Education and Literacy Teachers and Instructors,http://careerwise.minnstate.edu/careers/careerDetail?oc=253011
5,"Agricultural Sciences Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251041
5,"Anthropology and Archeology Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251061
5,"Architecture Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251031
5,Archivists,http://careerwise.minnstate.edu/careers/careerDetail?oc=254011
5,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251062
5,"Art, Drama, and Music Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251121
5,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251051
5,Audio-Visual and Multimedia Collections Specialists,http://careerwise.minnstate.edu/careers/careerDetail?oc=259011
5,"Biological Science Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251042
5,"Business Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251011
5,"Career/Technical Education Teachers, Middle School",http://careerwise.minnstate.edu/careers/careerDetail?oc=252023
5,"Career/Technical Education Teachers, Secondary School",http://careerwise.minnstate.edu/careers/careerDetail?oc=252032
5,"Chemistry Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251052
5,Coaches and Scouts,http://careerwise.minnstate.edu/careers/careerDetail?oc=272022
5,"Communications Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251122
5,"Computer Science Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251021
5,"Criminal Justice and Law Enforcement Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251111
5,Curators,http://careerwise.minnstate.edu/careers/careerDetail?oc=254012
5,"Economics Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251063
5,"Education Administrators, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=119039
5,"Education Administrators, Elementary and Secondary School",http://careerwise.minnstate.edu/careers/careerDetail?oc=119032
5,"Education Administrators, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=119033
5,"Education Administrators, Preschool and Childcare Center/Program",http://careerwise.minnstate.edu/careers/careerDetail?oc=119031
5,"Education Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251081
5,"Education, Training, and Library Workers, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=259099
5,"Educational, Guidance, School, and Vocational Counselors",http://careerwise.minnstate.edu/careers/careerDetail?oc=211012
5,"Elementary School Teachers, Except Special Education",http://careerwise.minnstate.edu/careers/careerDetail?oc=252021
5,"Engineering Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251032
5,"English Language and Literature Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251123
5,"Environmental Science Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251053
5,Farm and Home Management Advisors,http://careerwise.minnstate.edu/careers/careerDetail?oc=259021
5,"Foreign Language and Literature Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251124
5,"Forestry and Conservation Science Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251043
5,"Geography Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251064
5,Graduate Teaching Assistants,http://careerwise.minnstate.edu/careers/careerDetail?oc=251191
5,"Health Specialties Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251071
5,"History Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251125
5,"Home Economics Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251192
5,Instructional Coordinators,http://careerwise.minnstate.edu/careers/careerDetail?oc=259031
5,Interpreters and Translators,http://careerwise.minnstate.edu/careers/careerDetail?oc=273091
5,"Kindergarten Teachers, Except Special Education",http://careerwise.minnstate.edu/careers/careerDetail?oc=252012
5,"Law Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251112
5,Librarians,http://careerwise.minnstate.edu/careers/careerDetail?oc=254021
5,"Library Science Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251082
5,Library Technicians,http://careerwise.minnstate.edu/careers/careerDetail?oc=254031
5,"Mathematical Science Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251022
5,"Middle School Teachers, Except Special and Career/Technical Education",http://careerwise.minnstate.edu/careers/careerDetail?oc=252022
5,Museum Technicians and Conservators,http://careerwise.minnstate.edu/careers/careerDetail?oc=254013
5,"Nursing Instructors and Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251072
5,"Philosophy and Religion Teachers, Postsecondary",http://careerwise.minnstate.edu/careers/careerDetail?oc=251126
